Bit Position,Bit description,Bit Type
211,>= 5 unsaturated non-aromatic nitrogen-containing ring size 6,Rings in a Canonic Extended Smallest Set of Rings
212,>= 5 unsaturated non-aromatic heteroatom-containing ring size 6,Rings in a Canonic Extended Smallest Set of Rings
213,>= 1 any ring size 7,Rings in a Canonic Extended Smallest Set of Rings
214,>= 1 saturated or aromatic carbon-only ring size 7,Rings in a Canonic Extended Smallest Set of Rings
215,>= 1 saturated or aromatic nitrogen-containing ring size 7,Rings in a Canonic Extended Smallest Set of Rings
216,>= 1 saturated or aromatic heteroatom-containing ring size 7,Rings in a Canonic Extended Smallest Set of Rings
217,>= 1 unsaturated non-aromatic carbon-only ring size 7,Rings in a Canonic Extended Smallest Set of Rings
218,>= 1 unsaturated non-aromatic nitrogen-containing ring size 7,Rings in a Canonic Extended Smallest Set of Rings
219,>= 1 unsaturated non-aromatic heteroatom-containing ring size 7,Rings in a Canonic Extended Smallest Set of Rings
220,>= 2 any ring size 7,Rings in a Canonic Extended Smallest Set of Rings
221,>= 2 saturated or aromatic carbon-only ring size 7,Rings in a Canonic Extended Smallest Set of Rings
222,>= 2 saturated or aromatic nitrogen-containing ring size 7,Rings in a Canonic Extended Smallest Set of Rings
223,>= 2 saturated or aromatic heteroatom-containing ring size 7,Rings in a Canonic Extended Smallest Set of Rings
224,>= 2 unsaturated non-aromatic carbon-only ring size 7,Rings in a Canonic Extended Smallest Set of Rings
225,>= 2 unsaturated non-aromatic nitrogen-containing ring size 7,Rings in a Canonic Extended Smallest Set of Rings
226,>= 2 unsaturated non-aromatic heteroatom-containing ring size 7,Rings in a Canonic Extended Smallest Set of Rings
227,>= 1 any ring size 8,Rings in a Canonic Extended Smallest Set of Rings
228,>= 1 saturated or aromatic carbon-only ring size 8,Rings in a Canonic Extended Smallest Set of Rings
229,>= 1 saturated or aromatic nitrogen-containing ring size 8,Rings in a Canonic Extended Smallest Set of Rings
230,>= 1 saturated or aromatic heteroatom-containing ring size 8,Rings in a Canonic Extended Smallest Set of Rings
231,>= 1 unsaturated non-aromatic carbon-only ring size 8,Rings in a Canonic Extended Smallest Set of Rings
232,>= 1 unsaturated non-aromatic nitrogen-containing ring size 8,Rings in a Canonic Extended Smallest Set of Rings
233,>= 1 unsaturated non-aromatic heteroatom-containing ring size 8,Rings in a Canonic Extended Smallest Set of Rings
234,>= 2 any ring size 8,Rings in a Canonic Extended Smallest Set of Rings
235,>= 2 saturated or aromatic carbon-only ring size 8,Rings in a Canonic Extended Smallest Set of Rings
236,>= 2 saturated or aromatic nitrogen-containing ring size 8,Rings in a Canonic Extended Smallest Set of Rings
237,>= 2 saturated or aromatic heteroatom-containing ring size 8,Rings in a Canonic Extended Smallest Set of Rings
238,>= 2 unsaturated non-aromatic carbon-only ring size 8,Rings in a Canonic Extended Smallest Set of Rings
239,>= 2 unsaturated non-aromatic nitrogen-containing ring size 8,Rings in a Canonic Extended Smallest Set of Rings
240,>= 2 unsaturated non-aromatic heteroatom-containing ring size 8,Rings in a Canonic Extended Smallest Set of Rings
